seed,turn,greedy_step,phase,pool_active,best_die,fatigue_before,energy_budget,energy_used_before,energy_remaining_before,candidate,category,energy_cost,rpe,rpe_max,ctl_gain,quality_gain,legal,illegal_reason,excluded_only_by_rpe,delta_energy_term,delta_quality_term,delta_rpe_term,delta_fatigue_term,marginal_utility,decomposition_residual,utility_before,utility_after,projected_spend,projected_offset,projected_q,projected_q_delta,projected_s,projected_s_delta,projected_recovery,projected_recovery_delta,projected_fatigue_raw,projected_fatigue_final,projected_overtraining,distance_to_ot,bust_probability,rank,selected,decision,stop_reason,available_count,pool_permanent,cumulative_ctl_before,quality_total_before,completions_before,rpe_counterfactual_competitive,rpe_counterfactual_first,rpe_counterfactual_rank
0,16,2,long_run_sl,8-8-8-8-6-6,8,-8,24,5,19,SL8,SL,8,8,7,8,1,False,rpe_max,True,1.0,1.5,0.053571428571428575,0.0,2.553571428571429,4.440892098500626e-16,2.8035714285714284,5.357142857142857,13,-12,0,0,1,1,-4,0,-11,-8,False,16,0.125,,False,not_highest_rpe_sl,,15,8-8-8-8-6-6,204,19,"{""EF1"": 2, ""EF2"": 11, ""EF3"": 4, ""EF4"": 7, ""EF5"": 9, ""SL5"": 2, ""SL6"": 4, ""SL7"": 2, ""SL8"": 1, ""Seuil3"": 2, ""Seuil4"": 7, ""Seuil5"": 1}",True,True,1
1,4,1,long_run_ef,6-6-6-6,6,-4,13,0,13,EF5,EF,5,5,4,5,0,False,rpe_max,True,1.153846153846154,0.0,0.3125,-0.75,0.7163461538461542,2.220446049250313e-16,2.0,2.716346153846154,5,-9,0,0,1,1,-4,0,-7,-6,False,12,0.16666666666666666,,False,not_highest_rpe_ef,,11,6-6-6-6,28,3,"{""EF2"": 2, ""EF3"": 2, ""EF4"": 2, ""Seuil3"": 2, ""Seuil4"": 1}",False,False,3
1,4,2,weighted_greedy,6-6-6-6,6,-4,13,4,9,EF5,EF,5,5,4,5,0,False,rpe_max,True,1.1538461538461535,0.0,0.03125,-1.75,-0.5649038461538467,-2.220446049250313e-16,3.1730769230769234,2.6081730769230766,9,-5,0,0,1,1,-2,2,-5,-5,False,11,0.16666666666666666,,False,illegal,,11,6-6-6-6,28,3,"{""EF2"": 2, ""EF3"": 2, ""EF4"": 2, ""Seuil3"": 2, ""Seuil4"": 1}",False,False,7
1,4,2,weighted_greedy,6-6-6-6,6,-4,13,4,9,SL5,SL,5,5,4,5,1,False,rpe_max,True,1.1538461538461535,1.5,0.03125,-1.75,0.9350961538461533,-2.220446049250313e-16,3.1730769230769234,4.108173076923077,9,-5,0,0,1,1,-2,2,-5,-5,False,11,0.16666666666666666,,False,illegal,,11,6-6-6-6,28,3,"{""EF2"": 2, ""EF3"": 2, ""EF4"": 2, ""Seuil3"": 2, ""Seuil4"": 1}",True,True,1
1,4,3,weighted_greedy,6-6-6-6,6,-4,13,8,5,EF5,EF,5,5,4,5,0,False,rpe_max,True,1.1538461538461537,0.0,0.020833333333333315,-0.75,0.42467948717948634,-7.216449660063518e-16,4.096153846153847,4.520833333333333,13,-1,0,0,1,1,0,3,-3,-3,False,9,0.16666666666666666,,False,illegal,,11,6-6-6-6,28,3,"{""EF2"": 2, ""EF3"": 2, ""EF4"": 2, ""Seuil3"": 2, ""Seuil4"": 1}",True,True,1
1,10,2,long_run_sl,8-8-6-6-6-6,8,-8,22,5,17,SL7,SL,7,7,6,7,1,False,rpe_max,True,0.9545454545454545,1.5,0.04166666666666666,0.0,2.4962121212121215,4.440892098500626e-16,2.890151515151515,5.386363636363637,12,-11,0,0,1,1,-4,0,-11,-8,False,16,0.125,,False,not_highest_rpe_sl,,14,8-8-6-6-6-6,114,10,"{""EF2"": 3, ""EF3"": 3, ""EF4"": 7, ""EF5"": 5, ""SL5"": 2, ""SL6"": 2, ""SL7"": 1, ""Seuil3"": 3, ""Seuil4"": 2}",True,True,1
1,12,2,long_run_sl,8-8-8-6-6-6,8,-8,23,5,18,SL8,SL,8,8,7,8,1,False,rpe_max,True,1.0434782608695652,1.5,0.053571428571428575,0.0,2.597049689440994,0.0,2.830745341614907,5.427795031055901,13,-11,0,0,1,1,-4,0,-11,-8,False,16,0.125,,False,not_highest_rpe_sl,,15,8-8-8-6-6-6,153,14,"{""EF2"": 5, ""EF3"": 3, ""EF4"": 8, ""EF5"": 7, ""SL5"": 2, ""SL6"": 3, ""SL7"": 2, ""Seuil3"": 3, ""Seuil4"": 4}",True,True,1
1,15,2,long_run_sl,8-8-8-8-6-6,8,-8,21,5,16,SL7,SL,7,7,6,7,1,False,rpe_max,True,1.0,1.5,0.04166666666666666,0.0,2.541666666666667,4.440892098500626e-16,2.9226190476190474,5.464285714285714,12,-13,0,0,1,1,-4,0,-11,-8,False,16,0.125,,False,not_highest_rpe_sl,,16,8-8-8-8-6-6,213,20,"{""EF2"": 8, ""EF3"": 3, ""EF4"": 9, ""EF5"": 10, ""SL5"": 2, ""SL6"": 3, ""SL7"": 3, ""SL8"": 2, ""Seuil3"": 3, ""Seuil4"": 7}",True,True,3
1,15,2,long_run_sl,8-8-8-8-6-6,8,-8,21,5,16,SL8,SL,8,8,6,8,1,False,rpe_max,True,1.142857142857143,1.5,0.06249999999999997,0.0,2.7053571428571432,4.440892098500626e-16,2.9226190476190474,5.627976190476191,13,-12,0,0,2,2,-4,0,-10,-8,False,16,0.25,,False,not_highest_rpe_sl,,16,8-8-8-8-6-6,213,20,"{""EF2"": 8, ""EF3"": 3, ""EF4"": 9, ""EF5"": 10, ""SL5"": 2, ""SL6"": 3, ""SL7"": 3, ""SL8"": 2, ""Seuil3"": 3, ""Seuil4"": 7}",True,True,2
1,15,2,long_run_sl,8-8-8-8-6-6,8,-8,21,5,16,SL9,SL,9,9,6,9,1,False,rpe_max,True,1.2857142857142858,1.5,0.08333333333333334,0.0,2.8690476190476186,-4.440892098500626e-16,2.9226190476190474,5.791666666666667,14,-11,0,0,3,3,-4,0,-9,-8,False,16,0.375,,False,not_highest_rpe_sl,,16,8-8-8-8-6-6,213,20,"{""EF2"": 8, ""EF3"": 3, ""EF4"": 9, ""EF5"": 10, ""SL5"": 2, ""SL6"": 3, ""SL7"": 3, ""SL8"": 2, ""Seuil3"": 3, ""Seuil4"": 7}",True,True,1
